Site;Plot;Treatment;Species;Girth (cm);Diameter (cm);Notes
Karla;NV38-50;control;Picea abies;19;6,047892946;
Karla;NV38-50;control;Quercus sp.;36;11,45916558;
Karla;NV38-50;control;Quercus sp.;70;22,28171085;
Karla;NV38-50;control;Sorbus aucuparia;66;21,00847023;
Karla;NV38-50;control;Sorbus aucuparia;35;11,14085543;
Karla;NV38-50;control;Quercus sp.;36;11,45916558;
Karla;NV38-50;control;Sorbus aucuparia;32;10,18592496;
Karla;NV38-50;control;Sorbus aucuparia;46;14,64226713;
Karla;NV38-50;control;Quercus sp.;160;50,92962481;
Karla;NV38-50;control;Quercus sp.;85;27,05636318;
Karla;NV38-50;control;Frangula alnus;17;5,411272636;
Karla;NV38-50;control;Betula sp.;32;10,18592496;
Karla;NV38-50;control;Populus tremula;99;31,51270535;
Karla;NV38-50;control;Frangula alnus;18;5,729582791;
Karla;NV38-50;control;Populus tremula;134;42,65356078;
Karla;NV38-50;control;Quercus sp.;21;6,684513256;
Karla;NV38-50;control;Sorbus aucuparia;51;16,23381791;
Karla;NV38-50;control;Betula sp.;130;41,38032016;no canopy, few small branches
Karla;NV38-50;control;Quercus sp.;25;7,957753876;
Karla;NV38-50;control;Betula sp.;66;21,00847023;
Karla;NV38-50;control;Quercus sp.;40;12,7324062;
Karla;NV38-50;control;Sorbus aucuparia;50;15,91550775;
Karla;NV38-50;control;Picea abies;26;8,276064031;
Karla;NV38-50;control;Alnus glutinosa;95;30,23946473;
Skölvene;Ö50-60;thinned;Quercus sp.;129;41,06201;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;23;7,321133566;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;21;6,684513256;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;20;6,366203101;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;21;6,684513256;
Skölvene;Ö50-60;thinned;Corylus avellana;23;7,321133566;
Skölvene;Ö50-60;thinned;Corylus avellana;21;6,684513256;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;22;7,002823411;
Skölvene;Ö50-60;thinned;Corylus avellana;27;8,594374186;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;23;7,321133566;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;23;7,321133566;
Skölvene;Ö50-60;thinned;Corylus avellana;25;7,957753876;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;20;6,366203101;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;23;7,321133566;
Skölvene;Ö50-60;thinned;Corylus avellana;34;10,82254527;
